Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type,Per_Sqft
800.0,3.0,2.0,2.0,271,1.0,6500000,Builder_Floor,11291.5
750.0,2.0,2.0,2.0,135,1.0,5000000,Apartment,6667.0
950.0,2.0,2.0,1.0,47,1.0,15500000,Apartment,6667.0
600.0,2.0,2.0,2.0,270,1.0,4200000,Builder_Floor,6667.0
650.0,2.0,2.0,2.0,270,1.0,6200000,Builder_Floor,6667.0
1300.0,4.0,3.0,2.0,270,1.0,15500000,Builder_Floor,6667.0
1350.0,4.0,3.0,2.0,270,1.0,10000000,Builder_Floor,6667.0
650.0,2.0,2.0,2.0,89,1.0,4000000,Apartment,6154.0
985.0,3.0,3.0,0.0,267,1.0,6800000,Builder_Floor,6154.0
1300.0,4.0,4.0,2.0,268,1.0,15000000,Builder_Floor,6154.0
1100.0,3.0,2.0,2.0,266,1.0,6200000,Builder_Floor,6154.0
870.0,3.0,2.0,2.0,271,1.0,7700000,Builder_Floor,6154.0
630.0,2.0,2.0,2.0,270,1.0,5500000,Builder_Floor,6154.0
660.0,2.0,2.0,2.0,270,1.0,5000000,Builder_Floor,6154.0
344.4448,2.0,2.0,2.0,274,1.0,3310000,Builder_Floor,6154.0
660.0,2.0,2.0,2.0,272,1.0,4700000,Builder_Floor,6154.0
550.0,2.0,2.0,2.0,268,1.0,4500000,Builder_Floor,6154.0
1100.0,4.0,3.0,2.0,263,1.0,17000000,Builder_Floor,6154.0
1150.0,3.0,3.0,2.0,262,1.0,25000000,Apartment,6154.0
650.0,2.0,2.0,2.0,270,1.0,6000000,Builder_Floor,6154.0
850.0,2.0,2.0,2.0,184,1.0,11000000,Apartment,6154.0
900.0,3.0,2.0,2.0,337,5.0,4500000,Builder_Floor,6154.0
430.556,1.0,1.0,1.0,264,2.0,5300000,Apartment,6154.0
900.0,2.0,2.0,2.0,234,1.0,10500000,Apartment,6154.0
914.9315,2.0,2.0,2.0,273,1.0,12000000,Builder_Floor,6154.0
1100.0,3.0,3.0,1.0,266,1.0,7000000,Builder_Floor,6364.0
800.0,3.0,2.0,2.0,271,1.0,7000000,Builder_Floor,8750.0
500.0,1.0,1.0,2.0,287,1.0,3400000,Apartment,8750.0
28.0,2.0,2.0,1.0,271,1.0,5000000,Apartment,8750.0
2160.0,4.0,4.0,1.0,265,1.0,21000000,Builder_Floor,9722.0
1500.0,1.0,2.0,0.0,163,1.0,13500000,Apartment,11291.5
800.0,2.0,2.0,0.0,162,1.0,15000000,Builder_Floor,11291.5
900.0,2.0,2.0,0.0,161,1.0,10500000,Builder_Floor,11291.5
1080.0,3.0,2.0,2.0,338,1.0,22500000,Builder_Floor,11291.5
750.0,2.0,2.0,0.0,165,1.0,13600000,Builder_Floor,11291.5
