Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
800.0,3,2.0,1,282,1.0,6500000,1,0,1,11291.5
750.0,2,2.0,1,138,1.0,5000000,1,0,0,6667.0
950.0,2,2.0,0,49,1.0,15500000,1,1,0,6667.0
600.0,2,2.0,1,280,1.0,4200000,1,1,1,6667.0
650.0,2,2.0,1,281,1.0,6200000,1,0,1,6667.0
1300.0,4,3.0,1,280,1.0,15500000,1,0,1,6667.0
1350.0,4,3.0,1,280,1.0,10000000,1,1,1,6667.0
650.0,2,2.0,1,93,1.0,4000000,1,0,0,6154.0
985.0,3,3.0,2,277,1.0,6800000,0,0,1,6154.0
1300.0,4,4.0,1,278,1.0,15000000,1,0,1,6154.0
1100.0,3,2.0,1,276,1.0,6200000,1,0,1,6154.0
870.0,3,2.0,1,282,1.0,7700000,1,0,1,6154.0
630.0,2,2.0,1,280,1.0,5500000,1,0,1,6154.0
660.0,2,2.0,1,280,1.0,5000000,1,1,1,6154.0
344.4448,2,2.0,1,285,1.0,3310000,1,1,1,6154.0
660.0,2,2.0,1,283,1.0,4700000,1,0,1,6154.0
550.0,2,2.0,1,278,1.0,4500000,1,0,1,6154.0
1100.0,4,3.0,1,273,1.0,17000000,1,0,1,6154.0
1150.0,3,3.0,1,272,1.0,25000000,1,1,0,6154.0
650.0,2,2.0,1,280,1.0,6000000,1,1,1,6154.0
850.0,2,2.0,1,192,1.0,11000000,1,1,0,6154.0
900.0,3,2.0,1,354,5.0,4500000,1,1,1,6154.0
430.556,1,1.0,0,274,2.0,5300000,1,1,0,6154.0
900.0,2,2.0,1,244,1.0,10500000,1,1,0,6154.0
914.9315,2,2.0,1,284,1.0,12000000,1,1,1,6154.0
1100.0,3,3.0,0,276,1.0,7000000,1,0,1,6364.0
800.0,3,2.0,1,282,1.0,7000000,1,1,1,8750.0
500.0,1,1.0,1,302,1.0,3400000,1,1,0,8750.0
28.0,2,2.0,0,282,1.0,5000000,1,0,0,8750.0
